,d1,d2
146,-29.323957,59.95461
147,32.84509,7.709194
148,-22.236048,7.5998745
149,-39.055946,-36.839405
150,-13.785905,44.48561
151,1.3463227,-55.73323
152,9.723602,-16.148966
153,5.4314704,-10.961958
154,-20.36116,50.200718
155,-62.97104,-16.19376
156,29.53395,-45.233112
157,-47.164406,-17.738281
158,8.007496,40.249283
159,12.1065445,-41.136806
160,-33.349022,29.778221
161,-36.69055,-51.99285
162,30.277168,34.499218
163,18.490305,-37.897804
164,-18.237072,9.526883
165,22.155626,-25.460855
166,-5.641458,-26.649012
167,40.67117,-1.6530837
168,26.82237,-0.9430092
169,-13.591807,23.687836
170,19.500181,-51.007942
171,60.171707,19.269493
172,9.856105,22.661388
173,43.516792,3.98761
174,11.9929695,-40.777412
175,18.035042,-36.053123
176,-15.620009,-59.554302
177,-16.609106,-59.262314
178,25.199059,-0.58715314
179,-34.454132,26.478474
180,41.888706,9.854326
181,37.642662,-36.346973
182,25.901701,3.6208286
183,48.673927,-31.835966
184,-10.899752,20.561813
185,-52.35063,14.355375
186,17.848904,45.31889
187,-7.664662,-12.117791
188,34.816895,34.09961
189,-7.653265,58.468395
190,23.480717,-41.320198
191,22.799143,-47.19876
192,-55.85783,5.264085
193,19.346167,-22.482704
194,-8.385395,57.293877
195,52.268837,0.9391608
196,-47.580807,35.59293
197,24.861128,-50.634647
198,13.5362835,20.318777
199,24.49848,1.3953265
200,27.941582,2.5557232
201,-36.654045,9.442599
202,24.063745,61.14854
203,-37.518845,-22.277138
204,33.065674,30.166603
205,-0.038471173,-46.512478
206,-52.78916,18.737185
207,16.0366,43.049137
208,28.585028,7.763617
209,-45.13821,-30.676868
210,19.725574,-48.078068
211,-56.668987,6.086947
212,-5.800558,58.12707
213,-61.60709,0.033234507
214,53.040688,-4.655145
215,44.290615,11.077656
216,28.89155,10.407829
217,-43.309742,30.593954
218,12.988256,-31.286707
219,25.847017,-1.0577801
220,-35.67289,0.1371878
221,14.401334,-39.19359
222,-22.998178,-16.757193
223,28.945393,43.6956
224,-25.90555,-36.157356
225,13.550031,14.910522
226,1.3680615,-10.826545
227,-22.011635,-36.74364
228,-40.1722,8.920649
229,31.921942,34.253475
230,-48.195946,12.645559
231,33.999565,42.473915
232,-12.435144,-24.50288
233,-7.204948,28.306107
234,14.855349,13.764236
235,-51.28794,-14.845248
236,40.658634,0.1877955
237,-1.3816057,-53.168217
238,33.06968,5.7518086
239,43.723057,14.415471
240,-27.685776,30.338652
241,41.637383,1.5826885
242,20.74355,-40.173866
243,60.23321,1.6402633
244,9.331846,41.174767
245,42.848667,5.065196
246,-48.235256,20.816347
247,10.3081255,13.2328205
248,-40.54681,21.214048
249,-0.31252846,-54.34749
250,1.2985901,-31.062683
251,61.3193,17.518604
252,-8.403193,36.41475
253,2.37315,-27.204124
254,-50.755604,15.93406
255,31.19277,38.64363
256,51.310036,-21.03516
257,-30.829838,-53.484882
258,-49.18127,-17.041042
259,-37.493515,7.903753
260,31.439486,-48.262154
261,36.68128,-6.867423
262,42.943703,-10.980944
263,-21.57898,-6.74308
264,-45.635666,-19.695423
265,51.70208,-23.497372
266,20.764261,17.368784
267,16.350588,-36.17033
268,-48.881943,-21.46651
269,-54.298264,18.636349
270,43.523434,-11.8873625
271,43.803883,10.284952
272,5.8233204,-25.247055
273,-4.9136972,20.293053
274,50.82044,37.50555
275,-33.228397,27.256195
276,-40.58051,21.622444
277,34.856895,-30.402332
278,-40.17618,8.926593
279,16.060942,-49.432804
280,-54.924374,13.951265
281,10.613019,-42.64741
282,-11.726974,-36.925274
283,18.602526,59.291172
284,41.81386,22.195728
285,26.126793,-51.445522
286,-0.8982764,19.119345
287,-41.86194,17.856493
288,15.820345,7.508791
289,-14.430234,18.616058
290,-8.003662,10.337342
291,18.080275,-36.14933
292,42.85759,5.073913
293,-22.110025,7.378887
294,-6.713247,19.270344
295,-6.032925,28.481087
296,1.5786968,-48.815853
297,20.681566,-10.77467
298,-12.326828,6.0797753
299,1.7831115,-13.039217
300,-32.9586,28.145212
301,23.070086,-43.987396
302,29.747145,-22.72527
303,11.476211,29.33746
304,-14.058678,-13.574906
305,-56.588657,10.918281
306,-25.195194,21.335985
307,-22.039066,7.392234
308,8.679672,24.808224
309,42.21938,-27.591331
310,-50.479595,-17.36981
311,5.953283,-23.830105
312,-2.3503418,56.026516
313,-10.186341,-6.007037
314,-24.607773,27.51294
315,-25.796236,29.86619
316,-2.5652523,63.71451
317,34.859207,-45.24119
318,-14.232813,-13.670268
319,11.108526,57.53863
320,19.98643,-16.192242
321,32.145065,31.341503
322,-47.606373,22.130657
323,-27.49955,30.5137
324,25.636251,1.6044711
325,58.08508,-11.632562
326,-34.666195,30.493082
327,54.495415,1.1643856
328,-24.397385,18.041567
329,-0.7639801,34.197254
330,-18.914305,9.242096
331,-18.470333,9.450646
332,56.760174,-26.482765
333,22.161049,-25.421053
334,37.46164,-24.295204
335,17.423326,-34.573418
336,32.278404,6.3451176
337,-5.5442214,-26.675777
338,45.294647,11.170361
339,32.38223,-47.90777
340,-14.140805,-13.6119585
341,-5.8236675,-22.297823
342,38.93444,28.81732
343,7.824576,-55.655178
344,-0.7451256,19.22116
345,17.506336,-47.43847
346,-19.391842,20.34603
347,-0.8907295,-48.60011
348,16.72343,48.308624
349,-23.400621,-16.508015
350,-11.082972,20.532812
351,0.07392601,-30.510347
352,-0.85585886,19.135916
353,56.338936,-18.86254
354,64.853035,-10.883554
355,-0.92090285,-16.817753
